Date,Last Price,Volume
3/15/2019,25848.87,163368144
3/14/2019,25709.94,95384416
3/13/2019,25702.89,94467632
3/12/2019,25554.66,86151848
3/11/2019,25650.88,86119488
3/8/2019,25450.24,76669936
3/7/2019,25473.23,82909976
3/6/2019,25673.46,72280888
3/5/2019,25806.63,76830152
3/4/2019,25819.65,86355672
3/1/2019,26026.32,85813872
2/28/2019,25916,117897728
2/27/2019,25985.16,68562272
2/26/2019,26057.98,74980088
2/25/2019,26091.95,82976192
2/22/2019,26031.81,80981848
2/21/2019,25850.63,69199992
2/20/2019,25954.44,81036552
2/19/2019,25891.32,78867104
2/15/2019,25883.25,109357432
2/14/2019,25439.39,83407240
2/13/2019,25543.27,72371360
2/12/2019,25425.76,81712704
2/11/2019,25053.11,77602624
2/8/2019,25106.33,72703736
2/7/2019,25169.53,89393392
2/6/2019,25390.3,71643624
2/5/2019,25411.52,91156096
2/4/2019,25239.37,85456952
2/1/2019,25063.89,109429688
1/31/2019,24999.67,166845216
1/30/2019,25014.86,102262744
1/29/2019,24579.96,83260896
1/28/2019,24528.22,91457456
1/25/2019,24737.2,110503664
1/24/2019,24553.24,87957072
1/23/2019,24575.62,89585664
1/22/2019,24404.48,112807552
1/18/2019,24706.35,135318688
1/17/2019,24370.1,81215136
1/16/2019,24207.16,87148624
1/15/2019,24065.59,85541720
1/14/2019,23909.84,91713168
1/11/2019,23995.95,81286824
1/10/2019,24001.92,104184936
1/9/2019,23879.12,93783104
1/8/2019,23787.45,91689624
1/7/2019,23531.35,104392832
1/4/2019,23433.16,129924112
1/3/2019,22686.22,128949960
1/2/2019,23346.24,100597536
12/31/2018,23327.46,98450360
12/28/2018,23062.4,96900160
12/27/2018,23138.82,132928544
12/26/2018,22878.45,135065632
12/24/2018,21792.2,92293160
12/21/2018,22445.37,441125984
12/20/2018,22859.6,185663808
12/19/2018,23323.66,154592384
12/18/2018,23675.64,125914512
12/17/2018,23592.98,147762768
12/14/2018,24100.51,123952784
12/13/2018,24597.38,92642416
12/12/2018,24527.27,104059688
12/11/2018,24370.24,98286480
12/10/2018,24423.26,113351808
12/7/2018,24388.95,124372440
12/6/2018,24947.67,147265872
12/4/2018,25027.07,139285024
12/3/2018,25826.43,113928632
11/30/2018,25538.46,195645264
11/29/2018,25338.84,80253856
11/28/2018,25366.43,105708288
11/27/2018,24748.73,86202920
11/26/2018,24640.24,88957616
11/23/2018,24285.95,45312028
11/21/2018,24464.69,86168664
11/20/2018,24465.64,128214472
11/19/2018,25017.44,104150992
11/16/2018,25413.22,126867216
11/15/2018,25289.27,112654688
11/14/2018,25080.5,114013352
11/13/2018,25286.49,97261264
11/12/2018,25387.18,101181928
11/9/2018,25989.3,101913632
11/8/2018,26191.22,80450480
11/7/2018,26180.3,104669168
11/6/2018,25635.01,82628248
11/5/2018,25461.7,99050296
11/2/2018,25270.83,128816000
11/1/2018,25380.74,107754448
10/31/2018,25115.76,135693472
10/30/2018,24874.64,140373520
10/29/2018,24442.92,121107248
10/26/2018,24688.31,143088912
10/25/2018,24984.55,118362048
10/24/2018,24583.42,136766848
10/23/2018,25191.43,108172632
10/22/2018,25317.41,84662048
10/19/2018,25444.34,113175680
10/18/2018,25379.45,90745080
10/17/2018,25706.68,89596608
10/16/2018,25798.42,86131552
10/15/2018,25250.55,87150376
10/12/2018,25339.99,121152656
10/11/2018,25052.83,152324928
10/10/2018,25598.74,133223184
10/9/2018,26430.57,76806488
10/8/2018,26486.78,84140664
10/5/2018,26447.05,77864472
10/4/2018,26627.48,80867272
10/3/2018,26828.39,82053240
10/2/2018,26773.94,77276488
10/1/2018,26651.21,70675288
9/28/2018,26458.31,85496200
9/27/2018,26439.93,74440352
9/26/2018,26385.28,82400016
9/25/2018,26492.21,75309408
9/24/2018,26562.05,79881352
9/21/2018,26743.5,372471360
9/20/2018,26656.98,80659488
9/19/2018,26405.76,72953664
9/18/2018,26246.96,73229944
9/17/2018,26062.12,72792232
9/14/2018,26154.67,64677332
9/13/2018,26145.99,74189584
9/12/2018,25998.92,82440720
9/11/2018,25971.06,77315272
9/10/2018,25857.07,80762496
9/7/2018,25916.54,85845088
9/6/2018,25995.87,80743040
9/5/2018,25974.99,88515368
9/4/2018,25952.48,75453760
8/31/2018,25964.82,97360008
8/30/2018,25986.92,62604524
8/29/2018,26124.57,61484784
8/28/2018,26064.02,58625064
8/27/2018,26049.64,62500940
8/24/2018,25790.35,60083020
8/23/2018,25656.98,62561004
8/22/2018,25733.6,53939888
8/21/2018,25822.29,66844396
8/20/2018,25758.69,63537020
8/17/2018,25669.32,81028248
8/16/2018,25558.73,85374528
8/15/2018,25162.41,79783352
8/14/2018,25299.92,57509176
8/13/2018,25187.7,64198680
8/10/2018,25313.14,60954752
8/9/2018,25509.23,59553920
8/8/2018,25583.75,60567820
8/7/2018,25628.91,64961976
8/6/2018,25502.18,66822708
8/3/2018,25462.58,67528456
8/2/2018,25326.16,81618136
8/1/2018,25333.82,82420312
7/31/2018,25415.19,105441552
7/30/2018,25306.83,75320824
7/27/2018,25451.06,85161864
7/26/2018,25527.07,84664592
7/25/2018,25414.1,78651552
7/24/2018,25241.94,71409088
7/23/2018,25044.29,64774064
7/20/2018,25058.12,92211696
7/19/2018,25064.5,73945672
7/18/2018,25199.29,67407560
7/17/2018,25119.89,69926904
7/16/2018,25064.36,67097480
7/13/2018,25019.41,69189024
7/12/2018,24924.89,71345200
7/11/2018,24700.45,66547328
7/10/2018,24919.66,66304124
7/9/2018,24776.59,69235792
7/6/2018,24456.48,72288848
7/5/2018,24356.74,73314376
7/3/2018,24174.82,54783480
7/2/2018,24307.18,74791456
6/29/2018,24271.41,109539544
6/28/2018,24216.05,82398696
6/27/2018,24117.59,90516856
6/26/2018,24283.11,89581816
6/25/2018,24252.8,126964144
6/22/2018,24580.89,187244800
6/21/2018,24461.7,91374648
6/20/2018,24657.8,93342040
6/19/2018,24700.21,109265488
6/18/2018,24987.47,96108576
6/15/2018,25090.48,355028704
6/14/2018,25175.31,101281872
6/13/2018,25201.2,100789752
6/12/2018,25320.73,77569952
6/11/2018,25322.31,81032704
6/8/2018,25316.53,97049840
6/7/2018,25241.41,99047192
6/6/2018,25146.39,96312176
6/5/2018,24799.98,83885136
6/4/2018,24813.69,84598568
6/1/2018,24635.21,85411824
5/31/2018,24415.84,164426800
5/30/2018,24667.78,92479664
5/29/2018,24361.45,120239544
5/25/2018,24753.09,72276784
5/24/2018,24811.76,93473176
5/23/2018,24886.81,113460968
5/22/2018,24834.41,78551248
5/21/2018,25013.29,82238456
5/18/2018,24715.09,83546264
5/17/2018,24713.98,78499824
5/16/2018,24768.93,79616480
5/15/2018,24706.41,90597488
5/14/2018,24899.41,80264608
5/11/2018,24831.17,83038152
5/10/2018,24739.53,81118512
5/9/2018,24542.54,92973424
5/8/2018,24360.21,94052520
5/7/2018,24357.32,81314288
5/4/2018,24262.51,93759520
5/3/2018,23930.15,111518064
5/2/2018,23924.98,105024720
5/1/2018,24099.05,100003112
4/30/2018,24163.15,127102088
4/27/2018,24311.19,97712952
4/26/2018,24322.34,108132504
4/25/2018,24083.83,114897536
4/24/2018,24024.13,122388408
4/23/2018,24448.69,104568912
4/20/2018,24462.94,160586400
4/19/2018,24664.89,99210024
4/18/2018,24748.07,77458056
4/17/2018,24786.63,87230192
4/16/2018,24573.04,85438152
4/13/2018,24360.14,85816528
4/12/2018,24483.05,94176160
4/11/2018,24189.45,78547768
4/10/2018,24408,109322408
4/9/2018,23979.1,117444440
4/6/2018,23932.76,116689928
4/5/2018,24505.22,100243040
4/4/2018,24264.3,113393504
4/3/2018,24033.36,115989616
4/2/2018,23644.19,154073104
3/29/2018,24103.11,164787520
3/28/2018,23848.42,144373088
3/27/2018,23857.71,143578704
3/26/2018,24202.6,143721056
3/23/2018,23533.2,140958256
3/22/2018,23957.89,125220104
3/21/2018,24682.31,97199392
3/20/2018,24727.27,95064184
3/19/2018,24610.91,115835472
3/16/2018,24946.51,349358784
3/15/2018,24873.66,90799352
3/14/2018,24758.12,102684624
3/13/2018,25007.03,110557296
3/12/2018,25178.61,99533760
3/9/2018,25335.74,102187552
3/8/2018,24895.21,88859360
3/7/2018,24801.36,102303384
3/6/2018,24884.12,93405184
3/5/2018,24874.76,105004560
3/2/2018,24538.06,120190200
3/1/2018,24608.98,135695648
2/28/2018,25029.2,135541856
2/27/2018,25410.03,119210208
2/26/2018,25709.27,123397944
2/23/2018,25309.99,91399808
2/22/2018,24962.48,96386776
2/21/2018,24797.78,124434712
2/20/2018,24964.75,103980552
2/16/2018,25219.38,127026632
2/15/2018,25200.37,110595640
2/14/2018,24893.49,114401024
2/13/2018,24640.45,99077712
2/12/2018,24601.27,149693824
2/9/2018,24190.9,198760880
2/8/2018,23860.46,179770672
2/7/2018,24893.35,146600464
2/6/2018,24912.77,231378064
2/5/2018,24345.75,210835440
2/2/2018,25520.96,140879408
2/1/2018,26186.71,111586352
1/31/2018,26149.39,140120144
1/30/2018,26076.89,111858544
1/29/2018,26439.48,110919888
1/26/2018,26616.71,123610888
1/25/2018,26392.79,95732448
1/24/2018,26252.12,123271104
1/23/2018,26210.81,109272288
1/22/2018,26214.6,126357768
1/19/2018,26071.72,171541424
1/18/2018,26017.81,122470760
1/17/2018,26115.65,133700112
1/16/2018,25792.86,171084224
1/12/2018,25803.19,103878720
1/11/2018,25574.73,90362032
1/10/2018,25369.13,88372752
1/9/2018,25385.8,88521520
1/8/2018,25283,97611920
1/5/2018,25295.87,99171640
1/4/2018,25075.13,101492432
1/3/2018,24922.68,113225760
1/2/2018,24824.01,93865624
12/29/2017,24719.22,99506544
12/28/2017,24837.51,50953688
12/27/2017,24774.3,60501912
12/26/2017,24746.21,59977792
12/22/2017,24754.06,78610392
12/21/2017,24782.29,101366032
12/20/2017,24726.65,99129144
12/19/2017,24754.75,99474688
12/18/2017,24792.2,107462152
12/15/2017,24651.74,317292512
12/14/2017,24508.66,84757952
12/13/2017,24585.43,93786816
12/12/2017,24504.8,102133696
12/11/2017,24386.03,84768184
12/8/2017,24329.16,81472216
12/7/2017,24211.48,85468440
12/6/2017,24140.91,94435240
12/5/2017,24180.64,111255472
12/4/2017,24290.05,117013856
12/1/2017,24231.59,123385088
11/30/2017,24272.35,169752064
11/29/2017,23940.68,105160448
11/28/2017,23836.71,87841728
11/27/2017,23580.78,85005680
