Date,Last Price
03/15/2019,1303.13
03/14/2019,1296.17
03/13/2019,1309.12
03/12/2019,1301.58
03/11/2019,1293.35
03/08/2019,1298.3
03/07/2019,1285.61
03/06/2019,1286.36
03/05/2019,1288.01
03/04/2019,1286.74
03/01/2019,1293.44
02/28/2019,1313.32
02/27/2019,1319.86
02/26/2019,1328.96
02/25/2019,1327.58
02/22/2019,1329.4
02/21/2019,1323.63
02/20/2019,1338.44
02/19/2019,1340.94
02/18/2019,1326.89
02/15/2019,1322.49
02/14/2019,1312.57
02/13/2019,1306.27
02/12/2019,1310.8
02/11/2019,1308.12
02/08/2019,1314.29
02/07/2019,1310.11
02/06/2019,1306.6
02/05/2019,1315.32
02/04/2019,1312.25
02/01/2019,1317.98
01/31/2019,1321.25
01/30/2019,1319.91
01/29/2019,1311.79
01/28/2019,1303.36
01/25/2019,1305.25
01/24/2019,1281.21
01/23/2019,1282.72
01/22/2019,1285.22
01/21/2019,1280.47
01/18/2019,1282.11
01/17/2019,1292.05
01/16/2019,1293.67
01/15/2019,1289.51
01/14/2019,1291.72
01/11/2019,1290.25
01/10/2019,1286.65
01/09/2019,1293.56
01/08/2019,1285.39
01/07/2019,1289.21
01/04/2019,1286.05
01/03/2019,1294.28
01/02/2019,1284.59
01/01/2019,1282.6
12/31/2018,1282.49
12/28/2018,1280.71
12/27/2018,1275.71
12/26/2018,1267.14
12/25/2018,1268.54
12/24/2018,1269.22
12/21/2018,1256.94
12/20/2018,1259.86
12/19/2018,1243.08
12/18/2018,1249.42
12/17/2018,1245.85
12/14/2018,1239.02
12/13/2018,1241.99
12/12/2018,1245.66
12/11/2018,1243.25
12/10/2018,1244.46
12/07/2018,1249.31
12/06/2018,1237.78
12/05/2018,1237.29
12/04/2018,1238.54
12/03/2018,1230.67
11/30/2018,1220.52
11/29/2018,1224.21
11/28/2018,1221.23
11/27/2018,1215.05
11/26/2018,1222.4
11/23/2018,1223.05
11/22/2018,1228.64
11/21/2018,1226.04
11/20/2018,1221.66
11/19/2018,1224.17
11/16/2018,1223.36
11/15/2018,1213.36
11/14/2018,1210.88
11/13/2018,1202.23
11/12/2018,1200.37
11/09/2018,1209.65
11/08/2018,1224
11/07/2018,1226.49
11/06/2018,1227.19
11/05/2018,1231.49
11/02/2018,1232.89
11/01/2018,1233.43
10/31/2018,1214.76
10/30/2018,1222.93
10/29/2018,1229.42
10/26/2018,1233.53
10/25/2018,1232.17
10/24/2018,1233.79
10/23/2018,1230.3
10/22/2018,1222.1
10/19/2018,1226.49
10/18/2018,1225.81
10/17/2018,1222.29
10/16/2018,1224.95
10/15/2018,1227.06
10/12/2018,1217.05
10/11/2018,1224.09
10/10/2018,1194.79
10/09/2018,1189.77
10/08/2018,1188.08
10/05/2018,1203.63
10/04/2018,1199.92
10/03/2018,1197.35
10/02/2018,1203.32
10/01/2018,1188.99
09/28/2018,1190.88
09/27/2018,1182.83
09/26/2018,1194.44
09/25/2018,1201.22
09/24/2018,1199.03
09/21/2018,1200.04
09/20/2018,1207.18
09/19/2018,1204.04
09/18/2018,1198.36
09/17/2018,1201.46
09/14/2018,1194.85
09/13/2018,1201.47
09/12/2018,1206.24
09/11/2018,1198.59
09/10/2018,1195.88
09/07/2018,1196.93
09/06/2018,1199.98
09/05/2018,1196.73
09/04/2018,1191.52
09/03/2018,1201.27
08/31/2018,1201.15
08/30/2018,1199.98
08/29/2018,1206.6
08/28/2018,1201
08/27/2018,1211.38
08/24/2018,1205.35
08/23/2018,1185.56
08/22/2018,1195.8
08/21/2018,1195.99
08/20/2018,1190.48
08/17/2018,1184.25
08/16/2018,1174.16
08/15/2018,1174.85
08/14/2018,1194.09
08/13/2018,1193.5
08/10/2018,1210.57
08/09/2018,1212.47
08/08/2018,1213.88
08/07/2018,1210.97
08/06/2018,1207.64
08/03/2018,1214.9
08/02/2018,1207.83
08/01/2018,1215.96
07/31/2018,1224.15
07/30/2018,1221.45
07/27/2018,1224.22
07/26/2018,1222.69
07/25/2018,1231.63
07/24/2018,1224.52
07/23/2018,1224.5
07/20/2018,1229.53
07/19/2018,1222.97
07/18/2018,1227.51
07/17/2018,1227.54
07/16/2018,1240.93
07/13/2018,1244.32
07/12/2018,1247.39
07/11/2018,1241.96
07/10/2018,1255.54
07/09/2018,1257.68
