Date,USD/YEN,Last Price
3/15/2019,111.56,0.008963786
3/14/2019,111.7,0.008952551
3/13/2019,111.17,0.008995233
3/12/2019,111.36,0.008979885
3/11/2019,111.21,0.008991997
3/8/2019,111.17,0.008995233
3/7/2019,111.58,0.00896218
3/6/2019,111.77,0.008946945
3/5/2019,111.89,0.008937349
3/4/2019,111.75,0.008948546
3/1/2019,111.89,0.008937349
2/28/2019,111.39,0.008977467
2/27/2019,111,0.009009009
2/26/2019,110.59,0.009042409
2/25/2019,111.06,0.009004142
2/22/2019,110.69,0.00903424
2/21/2019,110.7,0.009033424
2/20/2019,110.85,0.0090212
2/19/2019,110.63,0.009039139
2/18/2019,110.62,0.009039957
2/15/2019,110.47,0.009052231
2/14/2019,110.48,0.009051412
2/13/2019,111.01,0.009008197
2/12/2019,110.48,0.009051412
2/11/2019,110.38,0.009059612
2/8/2019,109.73,0.009113278
2/7/2019,109.82,0.00910581
2/6/2019,109.97,0.009093389
2/5/2019,109.96,0.009094216
2/4/2019,109.89,0.009100009
2/1/2019,109.5,0.00913242
1/31/2019,108.89,0.00918358
1/30/2019,109.04,0.009170946
1/29/2019,109.4,0.009140768
1/28/2019,109.35,0.009144947
1/25/2019,109.55,0.009128252
1/24/2019,109.64,0.009120759
1/23/2019,109.6,0.009124088
1/22/2019,109.37,0.009143275
1/21/2019,109.67,0.009118264
1/18/2019,109.78,0.009109127
1/17/2019,109.26,0.00915248
1/16/2019,109.09,0.009166743
1/15/2019,108.68,0.009201325
1/14/2019,108.16,0.009245562
1/11/2019,108.48,0.009218289
1/10/2019,108.43,0.00922254
1/9/2019,108.17,0.009244707
1/8/2019,108.75,0.009195402
1/7/2019,108.72,0.00919794
1/4/2019,108.51,0.00921574
1/3/2019,107.68,0.009286776
1/2/2019,108.88,0.009184423
1/1/2019,109.74,0.009112448
12/31/2018,109.69,0.009116601
12/28/2018,110.27,0.00906865
12/27/2018,111.01,0.009008197
12/26/2018,111.37,0.008979079
12/25/2018,110.31,0.009065361
12/24/2018,110.45,0.009053871
12/21/2018,111.22,0.008991189
12/20/2018,111.28,0.008986341
12/19/2018,112.48,0.008890469
12/18/2018,112.52,0.008887309
12/17/2018,112.83,0.008862891
12/14/2018,113.39,0.00881912
12/13/2018,113.63,0.008800493
12/12/2018,113.29,0.008826904
12/11/2018,113.38,0.008819898
12/10/2018,113.33,0.008823789
12/7/2018,112.69,0.008873902
12/6/2018,112.68,0.008874689
12/5/2018,113.19,0.008834703
12/4/2018,112.77,0.008867607
12/3/2018,113.66,0.00879817
11/30/2018,113.57,0.008805142
11/29/2018,113.48,0.008812125
11/28/2018,113.68,0.008796622
11/27/2018,113.79,0.008788118
11/26/2018,113.58,0.008804367
11/23/2018,112.96,0.008852691
11/22/2018,112.95,0.008853475
11/21/2018,113.06,0.008844861
11/20/2018,112.77,0.008867607
11/19/2018,112.55,0.00888494
11/16/2018,112.83,0.008862891
11/15/2018,113.64,0.008799718
11/14/2018,113.63,0.008800493
11/13/2018,113.81,0.008786574
11/12/2018,113.84,0.008784259
11/9/2018,113.83,0.00878503
11/8/2018,114.07,0.008766547
11/7/2018,113.52,0.00880902
11/6/2018,113.43,0.00881601
11/5/2018,113.19,0.008834703
11/2/2018,113.2,0.008833922
11/1/2018,112.72,0.00887154
10/31/2018,112.94,0.008854259
10/30/2018,113.13,0.008839388
10/29/2018,112.37,0.008899172
10/26/2018,111.91,0.008935752
10/25/2018,112.42,0.008895214
10/24/2018,112.26,0.008907892
10/23/2018,112.44,0.008893632
10/22/2018,112.82,0.008863677
10/19/2018,112.55,0.00888494
10/18/2018,112.21,0.008911862
10/17/2018,112.65,0.008877053
10/16/2018,112.25,0.008908686
10/15/2018,111.77,0.008946945
10/12/2018,112.21,0.008911862
10/11/2018,112.16,0.008915835
10/10/2018,112.27,0.008907099
10/9/2018,112.96,0.008852691
10/8/2018,113.23,0.008831582
10/5/2018,113.72,0.008793528
10/4/2018,113.91,0.008778861
10/3/2018,114.53,0.008731337
10/2/2018,113.65,0.008798944
10/1/2018,113.93,0.008777319
9/28/2018,113.7,0.008795075
9/27/2018,113.38,0.008819898
